source_genesymbol	target_genesymbol	source_uniprot	target_uniprot	source_db	pathway	annotation
PTGDS	PTGER1	na	na	Pavlicev2017	PTGDS	Small Molecule-Mediated
PTGDS	PTGER2	na	na	Pavlicev2017	PTGDS	Small Molecule-Mediated
PTGDS	PTGER3	na	na	Pavlicev2017	PTGDS	Small Molecule-Mediated
PTGDS	PTGER4	na	na	Pavlicev2017	PTGDS	Small Molecule-Mediated
PTGDS	PTGFR	na	na	Pavlicev2017	PTGDS	Small Molecule-Mediated
PTGDS	PTGIR	na	na	Pavlicev2017	PTGDS	Small Molecule-Mediated
PTGES	PTGDR	na	na	Pavlicev2017	PTGES	Small Molecule-Mediated
PTGES	PTGDR2	na	na	Pavlicev2017	PTGES	Small Molecule-Mediated
PTGES	PTGER1	na	na	Pavlicev2017	PTGES	Small Molecule-Mediated
PTGES	PTGER2	na	na	Pavlicev2017	PTGES	Small Molecule-Mediated
PTGES	PTGER3	na	na	Pavlicev2017	PTGES	Small Molecule-Mediated
PTGES	PTGER4	na	na	Pavlicev2017	PTGES	Small Molecule-Mediated
PTGES	PTGFR	na	na	Pavlicev2017	PTGES	Small Molecule-Mediated
PTGES	PTGIR	na	na	Pavlicev2017	PTGES	Small Molecule-Mediated
PTGES	TBXA2R	na	na	Pavlicev2017	PTGES	Small Molecule-Mediated
PTGES2	PTGDR	na	na	Pavlicev2017	PTGES2	Small Molecule-Mediated
PTGES2	PTGDR2	na	na	Pavlicev2017	PTGES2	Small Molecule-Mediated
PTGES2	PTGER1	na	na	Pavlicev2017	PTGES2	Small Molecule-Mediated
PTGES2	PTGER2	na	na	Pavlicev2017	PTGES2	Small Molecule-Mediated
PTGES2	PTGER3	na	na	Pavlicev2017	PTGES2	Small Molecule-Mediated
PTGES2	PTGER4	na	na	Pavlicev2017	PTGES2	Small Molecule-Mediated
PTGES2	PTGFR	na	na	Pavlicev2017	PTGES2	Small Molecule-Mediated
PTGES2	PTGIR	na	na	Pavlicev2017	PTGES2	Small Molecule-Mediated
PTGES3	PTGDR	na	na	Pavlicev2017	PTGES3	Small Molecule-Mediated
PTGES3	PTGDR2	na	na	Pavlicev2017	PTGES3	Small Molecule-Mediated
PTGES3	PTGER1	na	na	Pavlicev2017	PTGES3	Small Molecule-Mediated
PTGES3	PTGER2	na	na	Pavlicev2017	PTGES3	Small Molecule-Mediated
PTGES3	PTGER3	na	na	Pavlicev2017	PTGES3	Small Molecule-Mediated
PTGES3	PTGER4	na	na	Pavlicev2017	PTGES3	Small Molecule-Mediated
PTGES3	PTGFR	na	na	Pavlicev2017	PTGES3	Small Molecule-Mediated
PTGES3	PTGIR	na	na	Pavlicev2017	PTGES3	Small Molecule-Mediated
PTGIS	PTGDR	na	na	Pavlicev2017	PTGIS	Small Molecule-Mediated
PTGIS	PTGDR2	na	na	Pavlicev2017	PTGIS	Small Molecule-Mediated
PTGIS	PTGER1	na	na	Pavlicev2017	PTGIS	Small Molecule-Mediated
PTGIS	PTGER2	na	na	Pavlicev2017	PTGIS	Small Molecule-Mediated
PTGIS	PTGER3	na	na	Pavlicev2017	PTGIS	Small Molecule-Mediated
PTGIS	PTGER4	na	na	Pavlicev2017	PTGIS	Small Molecule-Mediated
PTGIS	PTGFR	na	na	Pavlicev2017	PTGIS	Small Molecule-Mediated
PTGIS	PTGIR	na	na	Pavlicev2017	PTGIS	Small Molecule-Mediated
PTGIS	TBXA2R	na	na	Pavlicev2017	PTGIS	Small Molecule-Mediated
PTGS1	TBXA2R	na	na	Pavlicev2017	PTGS1	Small Molecule-Mediated
PTGS2	FPR2	na	na	Pavlicev2017	PTGS2	Small Molecule-Mediated
PTGS2	PTGDR	na	na	Pavlicev2017	PTGS2	Small Molecule-Mediated
PTGS2	PTGER2	na	na	Pavlicev2017	PTGS2	Small Molecule-Mediated
PTGS2	PTGER3	na	na	Pavlicev2017	PTGS2	Small Molecule-Mediated
PTGS2	PTGER4	na	na	Pavlicev2017	PTGS2	Small Molecule-Mediated
PTGS2	PTGIR	na	na	Pavlicev2017	PTGS2	Small Molecule-Mediated
PTGS2	TBXA2R	na	na	Pavlicev2017	PTGS2	Small Molecule-Mediated
SDHA	SUCNR1	na	na	Pavlicev2017	SDHA	Small Molecule-Mediated
SDHB	SUCNR1	na	na	Pavlicev2017	SDHB	Small Molecule-Mediated
SDHC	SUCNR1	na	na	Pavlicev2017	SDHC	Small Molecule-Mediated
SDHD	SUCNR1	na	na	Pavlicev2017	SDHD	Small Molecule-Mediated
TBXAS1	PTGDR	na	na	Pavlicev2017	TBXAS1	Small Molecule-Mediated
