"","interaction_name","pathway_name","ligand","receptor","agonist","antagonist","co_A_receptor","co_I_receptor","evidence","annotation","interaction_name_2"
"ENPP2_S1PR3","ENPP2_S1PR3","LPA","ENPP2","S1PR3","","","","","","Small Molecule-Mediated","ENPP2 - S1PR3"
"ENPP2_S1PR4","ENPP2_S1PR4","LPA","ENPP2","S1PR4","","","","","","Small Molecule-Mediated","ENPP2 - S1PR4"
"ENPP2_S1PR5","ENPP2_S1PR5","LPA","ENPP2","S1PR5","","","","","","Small Molecule-Mediated","ENPP2 - S1PR5"
"FTCD_GRM1","FTCD_GRM1","Glu","FTCD","GRM1","","","","","","Small Molecule-Mediated","FTCD - GRM1"
"FTCD_GRM2","FTCD_GRM2","Glu","FTCD","GRM2","","","","","","Small Molecule-Mediated","FTCD - GRM2"
"FTCD_GRM3","FTCD_GRM3","Glu","FTCD","GRM3","","","","","","Small Molecule-Mediated","FTCD - GRM3"
"FTCD_GRM4","FTCD_GRM4","Glu","FTCD","GRM4","","","","","","Small Molecule-Mediated","FTCD - GRM4"
"FTCD_GRM5","FTCD_GRM5","Glu","FTCD","GRM5","","","","","","Small Molecule-Mediated","FTCD - GRM5"
"FTCD_GRM6","FTCD_GRM6","Glu","FTCD","GRM6","","","","","","Small Molecule-Mediated","FTCD - GRM6"
"FTCD_GRM7","FTCD_GRM7","Glu","FTCD","GRM7","","","","","","Small Molecule-Mediated","FTCD - GRM7"
"FTCD_GRM8","FTCD_GRM8","Glu","FTCD","GRM8","","","","","","Small Molecule-Mediated","FTCD - GRM8"
"GLS_GRM1","GLS_GRM1","Glu","GLS","GRM1","","","","","","Small Molecule-Mediated","GLS - GRM1"
"GLS_GRM2","GLS_GRM2","Glu","GLS","GRM2","","","","","","Small Molecule-Mediated","GLS - GRM2"
"GLS_GRM3","GLS_GRM3","Glu","GLS","GRM3","","","","","","Small Molecule-Mediated","GLS - GRM3"
"GLS_GRM4","GLS_GRM4","Glu","GLS","GRM4","","","","","","Small Molecule-Mediated","GLS - GRM4"
"GLS_GRM5","GLS_GRM5","Glu","GLS","GRM5","","","","","","Small Molecule-Mediated","GLS - GRM5"
"GLS_GRM6","GLS_GRM6","Glu","GLS","GRM6","","","","","","Small Molecule-Mediated","GLS - GRM6"
"GLS_GRM7","GLS_GRM7","Glu","GLS","GRM7","","","","","","Small Molecule-Mediated","GLS - GRM7"
"GLS_GRM8","GLS_GRM8","Glu","GLS","GRM8","","","","","","Small Molecule-Mediated","GLS - GRM8"
"GLS2_GRM1","GLS2_GRM1","Glu","GLS2","GRM1","","","","","","Small Molecule-Mediated","GLS2 - GRM1"
"GLS2_GRM2","GLS2_GRM2","Glu","GLS2","GRM2","","","","","","Small Molecule-Mediated","GLS2 - GRM2"
"GLS2_GRM3","GLS2_GRM3","Glu","GLS2","GRM3","","","","","","Small Molecule-Mediated","GLS2 - GRM3"
"GLS2_GRM4","GLS2_GRM4","Glu","GLS2","GRM4","","","","","","Small Molecule-Mediated","GLS2 - GRM4"
"GLS2_GRM5","GLS2_GRM5","Glu","GLS2","GRM5","","","","","","Small Molecule-Mediated","GLS2 - GRM5"
"GLS2_GRM6","GLS2_GRM6","Glu","GLS2","GRM6","","","","","","Small Molecule-Mediated","GLS2 - GRM6"
"GLS2_GRM7","GLS2_GRM7","Glu","GLS2","GRM7","","","","","","Small Molecule-Mediated","GLS2 - GRM7"
"GLS2_GRM8","GLS2_GRM8","Glu","GLS2","GRM8","","","","","","Small Molecule-Mediated","GLS2 - GRM8"
"GLUD1_GRM1","GLUD1_GRM1","Glu","GLUD1","GRM1","","","","","","Small Molecule-Mediated","GLUD1 - GRM1"
"GLUD1_GRM2","GLUD1_GRM2","Glu","GLUD1","GRM2","","","","","","Small Molecule-Mediated","GLUD1 - GRM2"
"GLUD1_GRM3","GLUD1_GRM3","Glu","GLUD1","GRM3","","","","","","Small Molecule-Mediated","GLUD1 - GRM3"
"GLUD1_GRM4","GLUD1_GRM4","Glu","GLUD1","GRM4","","","","","","Small Molecule-Mediated","GLUD1 - GRM4"
"GLUD1_GRM5","GLUD1_GRM5","Glu","GLUD1","GRM5","","","","","","Small Molecule-Mediated","GLUD1 - GRM5"
"GLUD1_GRM6","GLUD1_GRM6","Glu","GLUD1","GRM6","","","","","","Small Molecule-Mediated","GLUD1 - GRM6"
"GLUD1_GRM7","GLUD1_GRM7","Glu","GLUD1","GRM7","","","","","","Small Molecule-Mediated","GLUD1 - GRM7"
"GLUD1_GRM8","GLUD1_GRM8","Glu","GLUD1","GRM8","","","","","","Small Molecule-Mediated","GLUD1 - GRM8"
"GLUD1_OXGR1","GLUD1_OXGR1","Glu","GLUD1","OXGR1","","","","","","Small Molecule-Mediated","GLUD1 - OXGR1"
"GLUD2_GRM1","GLUD2_GRM1","Glu","GLUD2","GRM1","","","","","","Small Molecule-Mediated","GLUD2 - GRM1"
"GLUD2_GRM2","GLUD2_GRM2","Glu","GLUD2","GRM2","","","","","","Small Molecule-Mediated","GLUD2 - GRM2"
"GLUD2_GRM3","GLUD2_GRM3","Glu","GLUD2","GRM3","","","","","","Small Molecule-Mediated","GLUD2 - GRM3"
"GLUD2_GRM4","GLUD2_GRM4","Glu","GLUD2","GRM4","","","","","","Small Molecule-Mediated","GLUD2 - GRM4"
"GLUD2_GRM5","GLUD2_GRM5","Glu","GLUD2","GRM5","","","","","","Small Molecule-Mediated","GLUD2 - GRM5"
"GLUD2_GRM6","GLUD2_GRM6","Glu","GLUD2","GRM6","","","","","","Small Molecule-Mediated","GLUD2 - GRM6"
"GLUD2_GRM7","GLUD2_GRM7","Glu","GLUD2","GRM7","","","","","","Small Molecule-Mediated","GLUD2 - GRM7"
"GLUD2_GRM8","GLUD2_GRM8","Glu","GLUD2","GRM8","","","","","","Small Molecule-Mediated","GLUD2 - GRM8"
"GLUD2_OXGR1","GLUD2_OXGR1","Glu","GLUD2","OXGR1","","","","","","Small Molecule-Mediated","GLUD2 - OXGR1"
"HDC_HRH1","HDC_HRH1","HISTAMINE","HDC","HRH1","","","","","","Small Molecule-Mediated","HDC - HRH1"
"HDC_HRH2","HDC_HRH2","HISTAMINE","HDC","HRH2","","","","","","Small Molecule-Mediated","HDC - HRH2"
"HDC_HRH3","HDC_HRH3","HISTAMINE","HDC","HRH3","","","","","","Small Molecule-Mediated","HDC - HRH3"
"HDC_HRH4","HDC_HRH4","HISTAMINE","HDC","HRH4","","","","","","Small Molecule-Mediated","HDC - HRH4"
"HPGDS_TBXA2R","HPGDS_TBXA2R","EICOSANOID","HPGDS","TBXA2R","","","","","","Small Molecule-Mediated","HPGDS - TBXA2R"
"HSD11B1_NR3C1","HSD11B1_NR3C1","E2","HSD11B1","NR3C1","","","","","","Small Molecule-Mediated","HSD11B1 - NR3C1"
"HSD17B1_GPER1","HSD17B1_GPER1","E2","HSD17B1","GPER1","","","","","","Small Molecule-Mediated","HSD17B1 - GPER1"
"HSD17B2_ESR1","HSD17B2_ESR1","E2","HSD17B2","ESR1","","","","","","Small Molecule-Mediated","HSD17B2 - ESR1"
"HSD17B2_ESR2","HSD17B2_ESR2","E2","HSD17B2","ESR2","","","","","","Small Molecule-Mediated","HSD17B2 - ESR2"
"HSD17B2_GPER1","HSD17B2_GPER1","E2","HSD17B2","GPER1","","","","","","Small Molecule-Mediated","HSD17B2 - GPER1"
"HSD3B1_NR3C1","HSD3B1_NR3C1","P4","HSD3B1","NR3C1","","","","","","Small Molecule-Mediated","HSD3B1 - NR3C1"
