source_genesymbol	target_genesymbol	source_uniprot	target_uniprot	source_db	source_transmembrane	source_peripheral	source_secreted	source_integrin	source_other	source_other_desc	source_Small_Molecule	target_transmembrane	target_peripheral	target_secreted	target_integrin	target_other	target_other_desc	target_Small_Molecule
COMPLEX:EBI3_IL27	COMPLEX:IL6ST_IL27RA	COMPLEX:Q14213_Q8NEV9	COMPLEX:P40189_Q6UWB1	CellPhoneDB_v4	False	False	True	False	False		na	True	False	True	False	False		na
IFNL3	COMPLEX:IL10RB_IFNLR1	Q8IZI9	COMPLEX:Q08334_Q8IU57	CellPhoneDB_v4	False	False	True	False	False		na	True	False	False	False	False		na
IL2	COMPLEX:IL2RA_IL2RB_IL2RG	P60568	COMPLEX:P01589_P14784_P31785	CellPhoneDB_v4	False	False	True	False	False		na	True	False	False	False	False		na
IL2	COMPLEX:IL2RB_IL2RG	P60568	COMPLEX:P14784_P31785	CellPhoneDB_v4	False	False	True	False	False		na	True	False	False	False	False		na
IL33	COMPLEX:IL1RL1_IL1RAP	O95760	COMPLEX:Q01638_Q9NPH3	CellPhoneDB_v4	False	False	True	False	False		na	True	False	True	False	False		na
COMPLEX:IL12A_EBI3	COMPLEX:IL6ST_IL12RB2	COMPLEX:P29459_Q14213	COMPLEX:P40189_Q99665	CellPhoneDB_v4	False	False	True	False	False		na	True	False	True	False	False		na
IL1F10	COMPLEX:IL1RL2_IL1RAP	Q8WWZ1	COMPLEX:Q9HB29_Q9NPH3	CellPhoneDB_v4	False	False	True	False	False		na	True	False	False	False	False		na
IL36B	COMPLEX:IL1RL2_IL1RAP	Q9NZH7	COMPLEX:Q9HB29_Q9NPH3	CellPhoneDB_v4	False	False	True	False	False		na	True	False	False	False	False		na
IL36G	COMPLEX:IL1RL2_IL1RAP	Q9NZH8	COMPLEX:Q9HB29_Q9NPH3	CellPhoneDB_v4	False	False	True	False	False		na	True	False	False	False	False		na
IL36RN	COMPLEX:IL1RL2_IL1RAP	Q9UBH0	COMPLEX:Q9HB29_Q9NPH3	CellPhoneDB_v4	False	False	True	False	False		na	True	False	False	False	False		na
IL36A	COMPLEX:IL1RL2_IL1RAP	Q9UHA7	COMPLEX:Q9HB29_Q9NPH3	CellPhoneDB_v4	False	False	True	False	False		na	True	False	False	False	False		na
IL37	COMPLEX:IL18R1_SIGIRR	Q9NZH6	COMPLEX:Q13478_Q6IA17	CellPhoneDB_v4	False	False	True	False	False		na	True	False	False	False	False		na
IL3	COMPLEX:IL3RA_CSF2RB	P08700	COMPLEX:P26951_P32927	CellPhoneDB_v4	False	False	True	False	False		na	True	False	False	False	False		na
IL4	COMPLEX:IL4R_IL2RG	P05112	COMPLEX:P24394_P31785	CellPhoneDB_v4	False	False	True	False	False		na	True	False	True	False	False		na
IL5	COMPLEX:CSF2RB_IL5RA	P05113	COMPLEX:P32927_Q01344	CellPhoneDB_v4	False	False	True	False	False		na	True	False	False	False	False		na
IL6	COMPLEX:IL6R_IL6ST	P05231	COMPLEX:P08887_P40189	CellPhoneDB_v4	False	False	True	False	False		na	True	False	True	False	False		na
IL7	COMPLEX:IL7R_IL2RG	P13232	COMPLEX:P16871_P31785	CellPhoneDB_v4	False	False	True	False	False		na	True	False	True	False	False		na
IL9	COMPLEX:IL2RG_IL9R	P15248	COMPLEX:P31785_Q01113	CellPhoneDB_v4	False	False	True	False	False		na	True	False	False	False	False		na
OSM	COMPLEX:IL6ST_LIFR	P13725	COMPLEX:P40189_P42702	CellPhoneDB_v4	False	False	True	False	False		na	True	False	True	False	False		na
LIF	COMPLEX:IL6ST_LIFR	P15018	COMPLEX:P40189_P42702	CellPhoneDB_v4	False	False	True	False	False		na	True	False	True	False	False		na
AGRN	COMPLEX:MUSK_LRP4	O00468	COMPLEX:O15146_O75096	CellPhoneDB_v4	True	False	True	False	False		na	True	False	False	False	False		na
TYR	GPR143	P14679	P51810	CellPhoneDB_v4	False	False	False	False	False		na	True	False	False	False	False		na
LTA4H	GPR17	P09960	Q13304	CellPhoneDB_v4	False	False	False	False	False		na	True	False	False	False	False		na
LTA4H	LTB4R	P09960	Q15722	CellPhoneDB_v4	False	False	False	False	False		na	True	False	False	False	False		na
LTA4H	LTB4R2	P09960	Q9NPC1	CellPhoneDB_v4	False	False	False	False	False		na	True	False	False	False	False		na
COMPLEX:ALOX5_ALOX5AP_LTC4S	GPR17	COMPLEX:P09917_P20292_Q16873	Q13304	CellPhoneDB_v4	False	False	False	False	False		na	True	False	False	False	False		na
COMPLEX:ALOX5_ALOX5AP_LTC4S	CYSLTR2	COMPLEX:P09917_P20292_Q16873	Q9NS75	CellPhoneDB_v4	False	False	False	False	False		na	True	False	False	False	False		na
COMPLEX:ALOX5_ALOX5AP_LTC4S	CYSLTR1	COMPLEX:P09917_P20292_Q16873	Q9Y271	CellPhoneDB_v4	False	False	False	False	False		na	True	False	False	False	False		na
COMPLEX:GGT1_GGT5	GPR17	COMPLEX:P19440_P36269	Q13304	CellPhoneDB_v4	True	False	False	False	False		na	True	False	False	False	False		na
COMPLEX:GGT1_GGT5	CYSLTR2	COMPLEX:P19440_P36269	Q9NS75	CellPhoneDB_v4	True	False	False	False	False		na	True	False	False	False	False		na
COMPLEX:GGT1_GGT5	CYSLTR1	COMPLEX:P19440_P36269	Q9Y271	CellPhoneDB_v4	True	False	False	False	False		na	True	False	False	False	False		na
DPEP1	CYSLTR1	P16444	Q9Y271	CellPhoneDB_v4	True	False	False	False	False		na	True	False	False	False	False		na
DPEP2	CYSLTR1	Q9H4A9	Q9Y271	CellPhoneDB_v4	False	False	False	False	False		na	True	False	False	False	False		na
DPEP3	CYSLTR1	Q9H4B8	Q9Y271	CellPhoneDB_v4	False	False	False	False	False		na	True	False	False	False	False		na
ALOX12	FPR2	P18054	P25090	CellPhoneDB_v4	False	False	False	False	False		na	True	False	False	False	False		na
ALOX12	CYSLTR1	P18054	Q9Y271	CellPhoneDB_v4	False	False	False	False	False		na	True	False	False	False	False		na
COMPLEX:ALOX5_ALOX5AP_LTC4S	FPR2	COMPLEX:P09917_P20292_Q16873	P25090	CellPhoneDB_v4	False	False	False	False	False		na	True	False	False	False	False		na
COMPLEX:ALOX5_ALOX5AP_LTC4S	CYSLTR1	COMPLEX:P09917_P20292_Q16873	Q9Y271	CellPhoneDB_v4	False	False	False	False	False		na	True	False	False	False	False		na
ERVH48-1	SLC1A5	M5A8F1	Q15758	CellPhoneDB_v4	False	False	True	False	True	retrovirus	na	True	False	False	False	False		na
AMH	COMPLEX:BMPR1A_AMHR2	P03971	COMPLEX:P36894_Q16671	CellPhoneDB_v4	False	False	True	False	False		na	True	False	False	False	False		na
AMH	COMPLEX:BMPR1B_AMHR2	P03971	COMPLEX:O00238_Q16671	CellPhoneDB_v4	False	False	True	False	False		na	True	False	False	False	False		na
AMH	COMPLEX:ACVR1_AMHR2	P03971	COMPLEX:Q04771_Q16671	CellPhoneDB_v4	False	False	True	False	False		na	True	False	False	False	False		na
ASMT	MTNR1A	P46597	P48039	CellPhoneDB_v4	False	False	False	False	False		na	True	False	False	False	False		na
ASMT	MTNR1B	P46597	P49286	CellPhoneDB_v4	False	False	False	False	False		na	True	False	False	False	False		na
MICB	COMPLEX:KLRK1_HCST	Q29980	COMPLEX:P26718_Q9UBK5	CellPhoneDB_v4	True	False	False	False	False		na	True	False	False	False	False		na
MICA	COMPLEX:KLRK1_HCST	Q29983	COMPLEX:P26718_Q9UBK5	CellPhoneDB_v4	True	False	False	False	False		na	True	False	False	False	False		na
RAET1L	COMPLEX:KLRK1_HCST	Q5VY80	COMPLEX:P26718_Q9UBK5	CellPhoneDB_v4	True	False	False	False	False		na	True	False	False	False	False		na
RAET1G	COMPLEX:KLRK1_HCST	Q6H3X3	COMPLEX:P26718_Q9UBK5	CellPhoneDB_v4	True	False	True	False	False		na	True	False	False	False	False		na
RAET1E	COMPLEX:KLRK1_HCST	Q8TD07	COMPLEX:P26718_Q9UBK5	CellPhoneDB_v4	True	False	True	False	False		na	True	False	False	False	False		na
ULBP3	COMPLEX:KLRK1_HCST	Q9BZM4	COMPLEX:P26718_Q9UBK5	CellPhoneDB_v4	True	False	False	False	False		na	True	False	False	False	False		na
ULBP2	COMPLEX:KLRK1_HCST	Q9BZM5	COMPLEX:P26718_Q9UBK5	CellPhoneDB_v4	True	False	True	False	False		na	True	False	False	False	False		na
NODAL	COMPLEX:CFC1_ACVR2A_ACVR1B	Q96S42	COMPLEX:P0CG37_P27037_P36896	CellPhoneDB_v4	False	False	True	False	False		na	True	False	True	False	False		na
NODAL	COMPLEX:TDGF1_ACVR2A_ACVR1B	Q96S42	COMPLEX:P13385_P27037_P36896	CellPhoneDB_v4	False	False	True	False	False		na	True	False	False	False	False		na
NODAL	COMPLEX:CFC1_ACVR1B_ACVR2B	Q96S42	COMPLEX:P0CG37_P36896_Q13705	CellPhoneDB_v4	False	False	True	False	False		na	True	False	True	False	False		na
NODAL	COMPLEX:TDGF1_ACVR1B_ACVR2B	Q96S42	COMPLEX:P13385_P36896_Q13705	CellPhoneDB_v4	False	False	True	False	False		na	True	False	False	False	False		na
NODAL	COMPLEX:CFC1_ACVR2B_ACVR1C	Q96S42	COMPLEX:P0CG37_Q13705_Q8NER5	CellPhoneDB_v4	False	False	True	False	False		na	True	False	True	False	False		na
NODAL	COMPLEX:TDGF1_ACVR2B_ACVR1C	Q96S42	COMPLEX:P13385_Q13705_Q8NER5	CellPhoneDB_v4	False	False	True	False	False		na	True	False	False	False	False		na
DBH	ADRB2	P09172	P07550	CellPhoneDB_v4	False	False	True	False	False		na	True	False	False	False	False		na
DBH	ADRB1	P09172	P08588	CellPhoneDB_v4	False	False	True	False	False		na	True	False	False	False	False		na
DBH	ADRA2A	P09172	P08913	CellPhoneDB_v4	False	False	True	False	False		na	True	False	False	False	False		na
DBH	ADRB3	P09172	P13945	CellPhoneDB_v4	False	False	True	False	False		na	True	False	False	False	False		na
DBH	ADRA2B	P09172	P18089	CellPhoneDB_v4	False	False	True	False	False		na	True	False	False	False	False		na
DBH	ADRA2C	P09172	P18825	CellPhoneDB_v4	False	False	True	False	False		na	True	False	False	False	False		na
DBH	ADRA1D	P09172	P25100	CellPhoneDB_v4	False	False	True	False	False		na	True	False	False	False	False		na
DBH	ADRA1A	P09172	P35348	CellPhoneDB_v4	False	False	True	False	False		na	True	False	False	False	False		na
DBH	ADRA1B	P09172	P35368	CellPhoneDB_v4	False	False	True	False	False		na	True	False	False	False	False		na
RETN	GPR25	Q9HD89	O00155	CellPhoneDB_v4	False	False	True	False	False		na	True	False	False	False	False		na
CCL24	CCR2	O00175	P41597	CellPhoneDB_v4	False	False	True	False	False		na	True	False	False	False	False		na
CCL24	CCR3	O00175	P51677	CellPhoneDB_v4	False	False	True	False	False		na	True	False	False	False	False		na
LGALS9	MET	O00182	P08581	CellPhoneDB_v4	False	False	True	False	False		na	True	False	False	False	False		na
LGALS9	CD44	O00182	P16070	CellPhoneDB_v4	False	False	True	False	False		na	True	False	False	False	False		na
LGALS9	LRP1	O00182	Q07954	CellPhoneDB_v4	False	False	True	False	False		na	True	False	False	False	False		na
LGALS9	CD47	O00182	Q08722	CellPhoneDB_v4	False	False	True	False	False		na	True	False	False	False	False		na
LGALS9	DAG1	O00182	Q14118	CellPhoneDB_v4	False	False	True	False	False		na	True	False	True	False	False		na
LGALS9	PTPRK	O00182	Q15262	CellPhoneDB_v4	False	False	True	False	False		na	True	False	False	False	False		na
LGALS9	SLC1A5	O00182	Q15758	CellPhoneDB_v4	False	False	True	False	False		na	True	False	False	False	False		na
LGALS9	COLEC12	O00182	Q5KU26	CellPhoneDB_v4	False	False	True	False	False		na	True	False	False	False	False		na
LGALS9	HAVCR2	O00182	Q8TDQ0	CellPhoneDB_v4	False	False	True	False	False		na	True	False	False	False	False		na
LGALS9	SORL1	O00182	Q92673	CellPhoneDB_v4	False	False	True	False	False		na	True	False	True	False	False		na
LGALS9	MRC2	O00182	Q9UBG0	CellPhoneDB_v4	False	False	True	False	False		na	True	False	False	False	False		na
TNFSF10	TNFRSF10A	P50591	O00220	CellPhoneDB_v4	True	False	True	False	False		na	True	False	False	False	False		na
CORT	SSTR1	O00230	P30872	CellPhoneDB_v4	False	False	True	False	False		na	True	False	False	False	False		na
CORT	SSTR2	O00230	P30874	CellPhoneDB_v4	False	False	True	False	False		na	True	False	False	False	False		na
CORT	SSTR4	O00230	P31391	CellPhoneDB_v4	False	False	True	False	False		na	True	False	False	False	False		na
CORT	SSTR3	O00230	P32745	CellPhoneDB_v4	False	False	True	False	False		na	True	False	False	False	False		na
CORT	SSTR5	O00230	P35346	CellPhoneDB_v4	False	False	True	False	False		na	True	False	False	False	False		na
CORT	GHSR	O00230	Q92847	CellPhoneDB_v4	False	False	True	False	False		na	True	False	False	False	False		na
CORT	MRGPRX2	O00230	Q96LB1	CellPhoneDB_v4	False	False	True	False	False		na	True	False	False	False	False		na
AGRP	MC4R	O00253	P32245	CellPhoneDB_v4	False	False	True	False	False		na	True	False	False	False	False		na
AGRP	MC5R	O00253	P33032	CellPhoneDB_v4	False	False	True	False	False		na	True	False	False	False	False		na
AGRP	MC3R	O00253	P41968	CellPhoneDB_v4	False	False	True	False	False		na	True	False	False	False	False		na
TULP1	TYRO3	O00294	Q06418	CellPhoneDB_v4	False	True	True	False	False		na	True	False	False	False	False		na
TNFRSF11B	TNFSF11	O00300	O14788	CellPhoneDB_v4	False	False	True	False	False		na	True	False	True	False	False		na
CCL19	CCRL2	Q99731	O00421	CellPhoneDB_v4	False	False	True	False	False		na	True	False	False	False	False		na
RARRES2	CCRL2	Q99969	O00421	CellPhoneDB_v4	False	False	True	False	False		na	True	False	False	False	False		na
AGRN	NCAM1	O00468	P13591	CellPhoneDB_v4	True	False	True	False	False		na	True	False	True	False	False		na
AGRN	PTPRS	O00468	Q13332	CellPhoneDB_v4	True	False	True	False	False		na	True	False	False	False	False		na
DLL1	NOTCH1	O00548	P46531	CellPhoneDB_v4	True	False	False	False	False		na	True	False	False	False	False		na
DLL1	NOTCH2	O00548	Q04721	CellPhoneDB_v4	True	False	False	False	False		na	True	False	False	False	False		na
DLL1	NOTCH4	O00548	Q99466	CellPhoneDB_v4	True	False	False	False	False		na	True	False	False	False	False		na
DLL1	NOTCH3	O00548	Q9UM47	CellPhoneDB_v4	True	False	False	False	False		na	True	False	False	False	False		na
RNASET2	TLR8	O00584	Q9NR97	CellPhoneDB_v4	False	False	True	False	False		na	True	False	False	False	True	microbe recognition	na
